day,mean_soil_temp,mean_soil_moisture,min_soil_temp,min_soil_moisture,max_soil_temp,max_soil_moisture
1947-01-01,-3.22,0.4772,-4.1,0.475,-1.4,0.48
1947-01-02,-2.533333333333333,0.4983333333333333,-3.2,0.478,-1.8,0.518
1947-01-03,-1.7333333333333334,0.515,-2.7,0.504,-0.1,0.519
1947-01-04,0.7291666666666666,0.496625,-0.1,0.489,2.1,0.509
1947-01-05,0.1625,0.4857916666666666,-0.7,0.484,1.1,0.489
1947-01-06,-0.4583333333333333,0.4813749999999999,-1.9,0.479,0.3,0.484
1947-01-07,-1.475,0.4772083333333333,-2.5,0.476,-0.3,0.479
1947-01-08,0.75,0.4740416666666666,-0.2,0.472,1.5,0.476
1947-01-09,0.325,0.4710416666666666,-0.9,0.47,1.9,0.472
1947-01-10,-1.3875,0.468625,-2.9,0.468,0.6,0.469
1947-01-11,0.9125,0.47025,-0.5,0.466,2.3,0.486
1947-01-12,1.9,0.4791666666666667,1.0,0.473,3.0,0.484
1947-01-13,1.0416666666666667,0.470875,0.1,0.468,2.4,0.473
1947-01-14,0.5375,0.48225,-0.1,0.468,1.4,0.506
1947-01-15,1.7625,0.5137916666666666,1.4,0.509,2.6,0.519
1947-01-16,1.1333333333333333,0.5095416666666667,0.6,0.503,1.8,0.517
1947-01-17,1.525,0.4933749999999999,0.6,0.486,2.4,0.504
1947-01-18,1.9791666666666667,0.4826666666666666,0.8,0.479,2.7,0.486
1947-01-19,2.308333333333333,0.4775,0.5,0.476,3.3,0.479
1947-01-20,2.5124999999999997,0.505,1.1,0.476,4.9,0.518
1947-01-21,1.5833333333333333,0.4991666666666667,-1.5,0.489,4.4,0.51
1947-01-22,-6.170833333333333,0.4856666666666666,-9.8,0.483,-0.1,0.489
1947-01-23,-4.929166666666666,0.480375,-7.2,0.478,-1.0,0.483
1947-01-24,1.6458333333333333,0.486375,-1.1,0.478,5.3,0.495
1947-01-25,4.541666666666667,0.4951666666666667,3.2,0.491,5.4,0.5
1947-01-26,3.1291666666666664,0.5009583333333333,2.0,0.487,4.7,0.514
1947-01-27,2.8541666666666665,0.4932499999999999,1.2,0.486,5.6,0.503
1947-01-28,3.5,0.4823333333333333,1.8,0.478,5.1,0.486
1947-01-29,3.8541666666666665,0.4768333333333333,1.5,0.476,8.0,0.478
1947-01-30,6.9624999999999995,0.4892499999999999,5.4,0.477,9.5,0.515
1947-01-31,4.691666666666666,0.4923333333333333,2.2,0.484,9.1,0.502
1947-02-01,0.5833333333333334,0.480625,-0.2,0.477,2.2,0.484
1947-02-02,-0.2166666666666666,0.4741249999999999,-0.9,0.472,1.0,0.476
1947-02-03,-1.5,0.47,-3.2,0.468,-0.1,0.472
1947-02-04,-1.1541666666666666,0.4662916666666667,-7.4,0.465,0.3,0.468
1947-02-05,-10.545833333333333,0.4635833333333334,-12.7,0.463,-8.2,0.465
1947-02-06,-6.904166666666666,0.4617083333333334,-9.4,0.461,-3.0,0.463
1947-02-07,-3.216666666666667,0.4604166666666667,-4.7,0.46,-2.2,0.461
1947-02-08,-8.020833333333334,0.4592916666666666,-9.8,0.459,-3.7,0.46
1947-02-09,-7.895833333333333,0.459,-9.6,0.459,-5.2,0.459
1947-02-10,-4.820833333333334,0.458375,-6.1,0.458,-3.3,0.459
1947-02-11,-4.029166666666667,0.458,-6.3,0.458,-1.0,0.458
1947-02-12,-3.0875,0.458,-7.4,0.458,0.4,0.458
1947-02-13,-2.0833333333333335,0.457375,-5.7,0.457,1.0,0.458
1947-02-14,0.4916666666666667,0.461125,-1.0,0.456,2.4,0.481
1947-02-15,1.3541666666666667,0.4805,-0.2,0.471,2.8,0.496
1947-02-16,0.6375000000000001,0.4811249999999999,-0.2,0.475,1.6,0.492
1947-02-17,0.7541666666666668,0.4717499999999999,-0.2,0.469,2.5,0.475
1947-02-18,0.4208333333333333,0.4684166666666667,-1.1,0.466,2.4,0.474
1947-02-19,0.075,0.4672916666666666,-1.4,0.466,1.4,0.469
1947-02-20,-3.2291666666666665,0.465375,-4.4,0.465,0.3,0.466
1947-02-21,-1.3958333333333333,0.4642083333333333,-2.7,0.464,-0.1,0.465
1947-02-22,-0.2291666666666666,0.4627916666666667,-0.6,0.462,0.4,0.464
1947-02-23,-0.2208333333333333,0.461,-0.5,0.46,0.5,0.462
1947-02-24,0.0999999999999999,0.459,-0.2,0.458,0.5,0.46
1947-02-25,0.0166666666666666,0.4577083333333334,-0.3,0.457,0.5,0.458
1948-01-01,0.7240000000000001,0.50432,-0.1,0.493,1.7,0.518
1948-01-02,0.725,0.498875,0.1,0.491,1.3,0.505
1948-01-03,0.575,0.4844166666666666,0.4,0.48,0.7,0.49
1948-01-04,0.2208333333333333,0.4776249999999999,-0.4,0.475,0.6,0.48
1948-01-05,0.3333333333333333,0.4731666666666667,-0.1,0.47,0.6,0.475
