date,max_temp,min_temp,avg_temp,precipitation,snowfall,snowdepth
1947-01-01,30.0,24.0,27.0,0.12,0.5,1.0
1947-01-02,44.0,29.0,36.5,0.49,0.0,0.0
1947-01-03,54.0,41.0,47.5,0.04,0.0,M
1947-01-04,42.0,24.0,33.0,0.0,0.0,M
1947-01-05,33.0,25.0,29.0,0.0,0.0,M
1947-01-06,33.0,17.0,25.0,0.12,2.0,2.0
1947-01-07,34.0,7.0,20.5,0.02,0.5,3.0
1947-01-08,35.0,27.0,31.0,0.03,0.4,3.0
1947-01-09,31.0,10.0,20.5,0.02,0.2,3.0
1947-01-10,30.0,17.0,23.5,0.0,0.0,2.0
1947-01-11,49.0,17.0,33.0,0.0,0.0,T
1947-01-12,47.0,27.0,37.0,0.0,0.0,M
1947-01-13,40.0,22.0,31.0,0.0,0.0,M
1947-01-14,50.0,34.0,42.0,0.03,0.0,M
1947-01-15,50.0,40.0,45.0,0.89,0.0,M
1947-01-16,51.0,37.0,44.0,0.02,0.0,M
1947-01-17,49.0,21.0,35.0,0.0,0.0,M
1947-01-18,42.0,22.0,32.0,0.0,0.0,M
1947-01-19,44.0,19.0,31.5,0.0,0.0,M
1947-01-20,54.0,36.0,45.0,0.77,0.0,M
1947-01-21,46.0,9.0,27.5,T,T,T
1947-01-22,14.0,2.0,8.0,0.16,0.5,1.0
1947-01-23,37.0,7.0,22.0,T,T,T
1947-01-24,49.0,32.0,40.5,0.0,0.0,M
1947-01-25,52.0,37.0,44.5,0.15,0.0,M
1947-01-26,51.0,35.0,43.0,0.25,0.0,M
1947-01-27,53.0,24.0,38.5,0.0,0.0,M
1947-01-28,48.0,34.0,41.0,0.0,0.0,M
1947-01-29,66.0,31.0,48.5,0.0,0.0,M
1947-01-30,67.0,40.0,53.5,0.31,0.0,M
1947-01-31,55.0,32.0,43.5,0.06,0.0,M
1947-02-01,36.0,23.0,29.5,0.0,0.0,M
1947-02-02,33.0,20.0,26.5,0.06,0.7,1.0
1947-02-03,44.0,4.0,24.0,0.0,0.0,T
1947-02-04,47.0,5.0,26.0,0.06,1.2,1.0
1947-02-05,9.0,-2.0,3.5,T,T,1.0
1947-02-06,24.0,5.0,14.5,0.02,0.6,1.0
1947-02-07,27.0,15.0,21.0,0.08,2.8,4.0
1947-02-08,16.0,-6.0,5.0,T,T,4.0
1947-02-09,15.0,6.0,10.5,0.04,0.5,4.0
1947-02-10,20.0,13.0,16.5,T,T,4.0
1947-02-11,31.0,18.0,24.5,0.0,0.0,1.0
1947-02-12,35.0,2.0,18.5,0.0,0.0,1.0
1947-02-13,41.0,6.0,23.5,0.0,0.0,T
1947-02-14,48.0,17.0,32.5,0.0,0.0,0.0
1947-02-15,40.0,25.0,32.5,0.02,T,M
1947-02-16,36.0,30.0,33.0,T,T,M
1947-02-17,34.0,24.0,29.0,0.0,0.0,M
1947-02-18,36.0,29.0,32.5,0.0,0.0,M
